Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
h	0.001	2.05e-10	0.00689655172413793
co	0.028	3.698e-10	0.00956937799043062
c3h4-p	0.04	4.667e-10	0.00351246926589392
c3h8	0.044	5.114e-10	0.00421585160202361
c4h71-4	0.055	4.65e-10	0.0028169014084507
pc4h9	0.057	5.405e-10	0.00327868852459016
nc3h7o	0.059	4.997e-10	0.00207684319833853
c5h81-3	0.068	5.33e-10	0.00222380359366661
ac5h10	0.07	5.532e-10	0.00258665287118469
ch3chcoch3	0.071	5.04e-10	0.00226971474225119
c4h8o2-3	0.072	5.2e-10	0.00201612903225806
ac3h5ooh	0.074	4.997e-10	0.00207684319833853
ch3och2o2h	0.078	4.037e-10	0.00253164556962025
c4h6cho1-44	0.083	5.306e-10	0.00207326503998292
dc6h12	0.084	5.872e-10	0.00241312741312741
c5h9o2-4	0.085	5.664e-10	0.00191131498470948
c5h10o1-2	0.086	5.664e-10	0.00191131498470948
c4h8ooh1-4	0.089	5.2e-10	0.00201612903225806
c3ket13	0.09	5.009e-10	0.002154243860405
c7h131-3	0.097	5.89e-10	0.0017919862375457
kes1	0.098	5.643e-10	0.00186057934719713
c4h8coch3-4	0.099	5.625e-10	0.00187152714743704
c7h15-2d	0.099	5.99e-10	0.00182865502422968
c6h12o1-2	0.1	5.643e-10	0.00186057934719713
c5h81ooh3-4	0.101	5.33e-10	0.00222380359366661
c5h10ooh2-3	0.103	5.664e-10	0.00191131498470948
nc4ket24	0.104	5.778e-10	0.00210084033613445
c8h15-1-2	0.111	6.24e-10	0.00167768345468577
c8h17-2	0.113	6.27e-10	0.00163174727498205
ic4h9coc2h4p	0.113	5.99e-10	0.00182865502422968
c7h14o1-3	0.114	6.297e-10	0.00195503421309873
c7h14o1-4-2	0.114	5.99e-10	0.00182865502422968
c6h102ooh6-5	0.115	5.96e-10	0.00169037416432127
c6h102ooh4-6	0.115	5.96e-10	0.00169037416432127
c6h113o2h-2	0.116	5.96e-10	0.00169037416432127
nc5d1ket45	0.116	5.504e-10	0.00258732212160414
c6h12ooh3-5	0.117	5.943e-10	0.00169879368660314
c6h13o2h-2	0.118	5.96e-10	0.00169037416432127
c9h17-1-2	0.125	6.4e-10	0.00153176888671037
c9h18-2-2	0.126	6.4e-10	0.00153176888671037
ic6h13coch2	0.127	6.24e-10	0.00167771160137572
c8o2-5	0.128	6.27e-10	0.00163174727498205
c8h16o2-5-2	0.128	6.24e-10	0.00167768345468577
c8h17o-3-2	0.129	6.24e-10	0.00167768345468577
nc6d1ket45	0.13	6.548e-10	0.00214132762312634
c7ooh1-2d	0.131	5.99e-10	0.00182865502422968
c7h14ooh2-1	0.131	6.317e-10	0.0017825311942959
c7ooh3-2a	0.131	5.99e-10	0.00182865502422968
c7ooh3-2d	0.131	5.99e-10	0.00182865502422968
c7h15ooh-3-2	0.132	5.99e-10	0.00182865502422968
c5h81ooh5-4o2	0.133	5.33e-10	0.00222380359366661
c10h19-1-2	0.139	6.4e-10	0.00153176888671037
c7h15chco	0.14	6.24e-10	0.00187090739008419
c10h21-1	0.141	6.69e-10	0.00141860069227714
c9o2-5	0.142	6.49e-10	0.00151768098345728
c9h18o4-8-2	0.142	6.4e-10	0.00153176888671037
c9h18o7-8-2	0.142	6.4e-10	0.00153176888671037
c9h19o-4-2	0.143	6.4e-10	0.00153176888671037
c8ooh2-2c	0.145	6.24e-10	0.00167768345468577
c8ooh3-6	0.145	6.27e-10	0.00163174727498205
c8h17o2-1	0.145	6.27e-10	0.00163174727498205
c8ooh4-3	0.145	6.27e-10	0.00163174727498205
c8h17ooh-4-2	0.146	6.24e-10	0.00167768345468577
